      Step     Time          Energy         fmax
BFGS:    0 14:54:13      -52.784932        0.3991
BFGS:    1 14:54:57      -52.791636        0.3550
BFGS:    2 14:55:41      -52.817245        0.0774
BFGS:    3 14:56:26      -52.817879        0.0684
BFGS:    4 14:57:11      -52.818633        0.0703
BFGS:    5 14:57:55      -52.818752        0.0573
BFGS:    6 14:58:40      -52.818873        0.0366
BFGS:    7 14:59:25      -52.819056        0.0374
BFGS:    8 15:00:10      -52.819322        0.0290
BFGS:    9 15:00:55      -52.819505        0.0108
BFGS:   10 15:01:40      -52.819563        0.0029
BFGS:   11 15:02:24      -52.819569        0.0003
