Date,Hits_Staff,Hits_Home
2022-04-14 18:03, 120, 
2022-04-17 00:42, 400, 
2022-04-19 01:38, 683, 
2022-04-20 11:44, 888, 
2022-04-21 23:48, 1111, 
2022-04-29 21:41, 2000, 
2022-05-26 17:39, 5319, 
2022-05-26 20:58, 5352, 
2022-05-27 13:36, 5407, 
2022-05-27 22:48, 5534, 
2022-05-28 13:14, 5577, 
2022-05-28 20:04, 5646, 
2022-05-29 16:43, 5715, 
2022-05-30 09:24, 5790, 
2022-05-30 16:42, 5869, 
2022-05-31 09:52, 6009, 
2022-06-01 09:14, 6193, 
2022-06-02 08:52, 6338, 
2022-06-03 19:01, 6549, 
2022-06-04 16:45, 6654, 
2022-06-05 17:45, 6747, 
2022-06-06 16:17, 6833, 
2022-06-07 18:49, 7026, 
2022-06-08 19:49, 7162, 
2022-06-09 17:47, 7326, 
2022-06-10 17:12, 7527, 
2022-06-11 21:05, 7633, 
2022-06-12 17:48, 7706, 
2022-06-13 09:55, 7777, 
2022-06-13 20:24, 7867, 
2022-06-14 15:26, 8037, 
2022-06-15 15:44, 8198, 
2022-06-16 16:13, 8401, 
2022-06-17 19:13, 8581, 
2022-06-18 16:46, 8732, 
2022-06-19 17:42, 8810, 
2022-06-20 16:02, 8889, 
2022-06-21 19:39, 9067, 
2022-06-22 17:52, 9214, 
2022-06-23 17:54, 9350, 
2022-06-24 17:42, 9513, 
2022-06-27 09:33, 9643, 
2022-06-28 09:23, 9816, 
2022-06-29 14:35, 10000, 
2022-06-30 17:50, 10212, 
2022-07-01 17:43, 10367, 
2022-07-02 19:03, 10551, 
2022-07-03 15:56, 10631, 
2022-07-04 19:58, 10731, 
2022-07-05 19:14, 10876, 
2022-07-06 18:45, 11006, 
2022-07-07 19:42, 11192, 
2022-07-08 19:37, 11323, 
2022-07-09 21:04, 11422, 
2022-07-10 18:06, 11526, 
2022-07-11 19:08, 11635, 
2022-07-12 17:36, 11788, 
2022-07-13 17:46, 11913, 
2022-07-14 18:06, 12051, 
2022-07-15 18:38, 12190, 
2022-07-16 18:40, 12304, 
2022-07-18 16:40, 12545, 
2022-07-21 18:11, 12915, 
2022-07-25 13:49, 13346, 
2022-07-27 10:59, 13641, 
2022-07-28 11:52, 13783, 
2022-07-31 18:18, 14071, 
2022-08-02 14:55, 14343, 
2022-08-05 18:56, 14781, 
2022-08-08 12:57, 14994, 
2022-08-12 23:55, 15534, 
2022-08-19 14:34, 16189, 
2022-08-21 13:17, 16391, 
2022-08-25 12:13, 16727, 
2022-08-29 15:48, 17106, 
2022-09-01 13:29, 17421, 
2022-09-06 10:15, 17879, 
2022-09-08 12:46, 18126, 
2022-09-11 17:32, 18352, 
2022-09-14 12:16, 18677, 
2022-09-15 13:11, 18857, 441
2022-09-22 09:03, 19638, 523
2022-09-24 18:42, 19925, 584
2022-09-26 15:32, 20084, 604
2022-09-28 10:55, 20286, 622
2022-09-30 08:55, 20489, 647
2022-10-02 12:53, 20648, 662
2022-10-03 16:48, 20726, 671
2022-10-05 22:27, 20979, 734
